OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,latitude,longitude
1157,One9 #297,"I-70, EXIT 11 & SR-46",Terre Haute,IN,510,3.435667,39.4330102,-87.3321209
1158,PILOT TRAVEL CENTERS #36,US-30  & SR-49,Valparaiso,IN,365,3.869000,41.4302095,-87.0271669
1158,PILOT TRAVEL CENTER #36,US-30  & SR-49,Valparaiso,IN,365,3.859000,41.4302095,-87.0271669
1163,SHORT STOP #13,US-54,Emporia,KS,553,2.839000,,
1176,PILOT TRAVEL CENTERS #353,"I-75, EXIT 129",Georgetown,KY,410,3.205667,38.2760926,-84.5533706
1179,PILOT TRAVEL CENTERS #399,"I-65, EXIT 105",Lebanon Junction,KY,415,3.609000,37.8274359,-85.7243826
1196,SOUTHERN BELLE TRUCK STOP,US-61 & SR-964,Saint Francisville,LA,725,3.384000,,
1199,ALLTOWN MARKETS #306,"I-190, EXIT 7",Leominster,MA,178,3.682333,42.5244933,-71.7556472
1202,ONE9 #290,"I-95, EXIT 93 & SR-222",Perryville,MD,22,3.599000,,
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.549000,39.1179336,-88.5732570
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.349000,39.1179336,-88.5732570
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.439000,39.1179336,-88.5732570
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.399000,39.1179336,-88.5732570
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,3.499000,42.3769125,-85.6513022
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,3.099000,42.3769125,-85.6513022
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw,MI,465,3.599000,42.0995260,-86.0890762
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw,MI,465,3.559000,42.0995260,-86.0890762
1217,KWIK TRIP #250,"I-90, EXIT 179",Austin,MN,515,3.374000,,
1218,CASEYS #3658,SR-210,Pillager,MN,522,3.299000,,
1225,AYERCO #35,US-61 & US-61 BUS,Bowling Green,MO,494,3.015667,39.3414903,-91.2027523
1234,Lamar Travel Plaza,US-71 & US-160,Lamar,MO,416,3.199000,37.4940323,-94.3117746
1236,AYERCO #44,US-36 & US-24,Palmyra,MO,494,3.015667,,
1240,TEMP STOP #103,US-65,Sedalia,MO,400,3.199000,,
1247,SNAPPY MART #11,US-63 & SR-14,West Plains,MO,535,3.299000,,
1251,MAPCO #3009,US-72,Corinth,MS,435,3.154000,,
1256,DOUBLE QUICK #89,US-82/US-278,Greenville,MS,655,3.255667,33.3722549,-91.0753203
1265,JOE JOES TRAVEL CENTER,US-78 & RED BANKS RD S,Red Banks,MS,435,2.972333,34.8334046,-89.5646530
